question|answer|distractors
What is 355 - 6004?|-5649|3682
What is 1465 * 539?|789635|6667
What is 2514 + 2116?|4630|4779, 9780
What is 6961 * 3086?|21481646|9625, 1209, 8973, 5127
What is 6926 * 702?|4862052|6169, 4591
What is 1131 - 8466?|-7335|4432, 6952, 2951, 4929
What is 5844 - 9920?|-4076|6305, 4501, 1374
What is 3486 * 4594?|16014684|3712
What is 9403 + 5380?|14783|9376, 5922, 3460
What is 7523 - 8127?|-604|7010, 5126, 1735
What is 8440 * 3404?|28729760|5169, 7851
What is 151 + 6862?|7013|1170
What is 2413 + 181?|2594|6511, 7546, 9470, 4175
What is 5430 * 7996?|43418280|7104
What is 2942 - 2521?|421|7530
What is 5644 + 6994?|12638|5781
What is 1050 - 7390?|-6340|2209, 4108, 2174, 4567
What is 4062 + 837?|4899|3372, 8973
What is 1540 - 548?|992|370, 375
What is 5053 * 9347?|47230391|6000, 6596, 452, 1325
What is 5922 + 8360?|14282|6556, 598, 3294
What is 1945 + 2808?|4753|875
What is 2298 * 2599?|5972502|2355, 4204, 7123
What is 4047 * 73?|295431|1777, 2999, 566
What is 1811 * 4664?|8446504|255
What is 8811 * 6866?|60496326|6544, 706
What is 8854 + 9807?|18661|6374, 7772, 9430, 4245
What is 3910 * 6074?|23749340|8416, 1417
What is 1373 + 9134?|10507|8072, 1804, 8463
What is 5563 - 3570?|1993|931, 8453, 6911
What is 1865 - 56?|1809|9554
What is 2003 + 7366?|9369|4326, 8503
What is 1460 - 5897?|-4437|8232, 3561
What is 4292 - 397?|3895|9480, 885, 1717
What is 6220 + 1828?|8048|344, 7154, 1654, 3238
What is 4839 * 8567?|41455713|4165
What is 8723 + 7006?|15729|2379, 3879, 6639
What is 7690 - 8427?|-737|3941
What is 1375 + 1484?|2859|6681, 9412, 8857
What is 4576 + 6913?|11489|4010, 3879, 183
What is 2221 - 6930?|-4709|8140, 5356, 2653
What is 7915 - 2172?|5743|4077, 598
What is 9946 - 4517?|5429|5407
What is 1527 + 7961?|9488|9739, 8911
What is 544 * 214?|116416|9221
What is 6623 + 8841?|15464|671
What is 8282 - 7082?|1200|4568, 5801
What is 4706 + 1288?|5994|1716, 3317, 4238
What is 1850 * 8169?|15112650|6000, 4897, 9181, 598
What is 1317 * 7925?|10437225|6667, 2937
What is 5008 - 339?|4669|8334
What is 9630 - 2163?|7467|712, 4197, 8038, 3045
What is 9044 + 2207?|11251|4915, 9299, 7205
What is 3201 - 9257?|-6056|9489, 3378, 9822, 5087
What is 3276 - 6900?|-3624|9002
What is 3597 - 9600?|-6003|1590
What is 3994 - 2477?|1517|3849, 9458, 6574, 7505
What is 7723 + 3515?|11238|5178, 8742
What is 2914 + 2395?|5309|8930, 2054, 1263
What is 6495 - 1953?|4542|7272
What is 9713 - 1554?|8159|5315
What is 8713 - 5627?|3086|3801, 2714, 1117
What is 733 * 5135?|3763955|5280
What is 6362 + 7105?|13467|4935
What is 2077 + 7426?|9503|2665, 822
What is 3328 * 2912?|9691136|3940
What is 8372 - 6001?|2371|6840, 3426, 5077
What is 688 + 3910?|4598|8328, 4610, 4995
What is 4373 * 8571?|37480983|7430
What is 2666 + 1638?|4304|4443, 6947, 596, 7579
What is 9143 + 4114?|13257|5299
What is 5302 * 46?|243892|9058, 1339, 1477, 4142
What is 5117 + 5344?|10461|4940, 1852
What is 608 - 5985?|-5377|1129
What is 40 * 7811?|312440|9857, 1721
What is 5133 * 6293?|32301969|5696, 5923, 1556, 1945
What is 7148 + 1175?|8323|1016, 2747
What is 1399 * 1217?|1702583|7995, 9015, 7189, 6221
What is 1076 + 817?|1893|1519, 7810, 7559, 6391
What is 4817 + 1392?|6209|324
What is 2981 * 4496?|13402576|8011, 4677, 902
What is 3885 - 1963?|1922|1016
What is 7868 - 3356?|4512|9, 8722, 1091, 2261
What is 4479 * 9957?|44597403|74
What is 545 * 6325?|3447125|7939, 6989
What is 9373 - 2770?|6603|7568, 7577, 2982, 4641
What is 4425 - 4814?|-389|7774
What is 6513 - 8959?|-2446|8257
What is 3136 - 9211?|-6075|7161, 4893, 3406, 85
What is 3602 - 6345?|-2743|5024, 1214, 4401
What is 1919 - 9945?|-8026|7368
What is 4785 + 9274?|14059|7025, 8878, 2103
What is 7667 + 3418?|11085|3936, 5786, 5963
What is 3171 * 1033?|3275643|911, 383
What is 4139 - 7068?|-2929|6661, 7086
What is 20 + 920?|940|15, 8313, 8751, 6863
What is 2298 - 5937?|-3639|8466, 7987, 8427
What is 862 * 1567?|1350754|7394, 9583
What is 7476 * 105?|784980|7287
What is 7059 * 9520?|67201680|5115, 8876, 4613, 9191
What is 8779 - 572?|8207|3259
What is 7229 - 4592?|2637|5298, 2573, 4711
What is 2754 + 8357?|11111|8297, 6026, 2866, 8362
What is 2513 + 6765?|9278|5969, 3087
What is 5549 + 2334?|7883|7622
What is 7587 - 1639?|5948|2281, 5618, 1397, 7454
What is 7008 + 4024?|11032|8808, 1111, 4701, 4997
What is 9543 - 773?|8770|2825, 6068, 4518, 8142
What is 5848 * 1866?|10912368|7608
What is 6471 * 9337?|60419727|7168, 2903, 3275, 3011
What is 1504 - 1044?|460|5284, 1251, 4197, 7062
What is 5556 + 7748?|13304|6426, 6476, 3639
What is 3191 - 5023?|-1832|7016, 4204, 224
What is 6899 + 6778?|13677|6944, 6427, 9927
What is 2487 - 6884?|-4397|1363, 8356, 1931
What is 4262 + 9958?|14220|9087, 1099, 3111, 2999
What is 6584 * 8042?|52948528|4603, 2020, 2781, 2519
What is 1904 * 8514?|16210656|114, 3427
What is 1593 * 7262?|11568366|9816, 6575, 53, 2871
What is 6608 + 5584?|12192|7683, 492, 1877, 5423
What is 9926 - 4861?|5065|8152, 8929
What is 2680 * 3747?|10041960|2987
What is 1788 * 8836?|15798768|568, 4702, 7606, 2735
What is 5260 - 6686?|-1426|4840
What is 3554 + 8255?|11809|4352, 8089
What is 6871 * 2530?|17383630|833, 8006, 4655
What is 6878 * 8513?|58552414|2960, 7483, 8195, 310
What is 5813 + 3829?|9642|2153, 8045
What is 69 - 772?|-703|7938, 6755, 8102, 6777
What is 7822 - 3648?|4174|9788, 1246
What is 2378 + 6889?|9267|1378, 634, 9237
What is 1300 * 6716?|8730800|9858, 9834
What is 3904 + 4244?|8148|6804
What is 6457 + 8396?|14853|5310
What is 6658 * 9379?|62445382|5123, 1576, 6547
What is 4139 - 4759?|-620|1015, 4245, 3031
What is 6022 * 7774?|46815028|8158, 4175
What is 6261 + 1675?|7936|4144, 7179, 4646
What is 1867 + 5430?|7297|5267
What is 8733 - 6196?|2537|8620, 7429, 9445, 7209
What is 9531 * 3365?|32071815|7867
What is 7304 - 379?|6925|778, 475, 2212, 5205
What is 1595 * 2750?|4386250|2552, 1705, 2117, 8446
What is 6182 - 7226?|-1044|1260, 1139, 1021, 7183
What is 4751 + 9670?|14421|2931
What is 9147 * 5308?|48552276|6152
What is 2841 - 2257?|584|7282, 958
What is 1717 * 5438?|9337046|3939
What is 6939 - 4208?|2731|6547, 1461, 7627
What is 2227 + 8241?|10468|3236, 3249
What is 3892 + 2542?|6434|9913, 4769, 146, 8157
What is 7465 * 7096?|52971640|9801, 9208, 485
What is 2653 - 5154?|-2501|7747, 9820
What is 3969 + 578?|4547|9617, 1815
What is 175 * 8944?|1565200|3282, 9461, 3277, 5685
What is 6231 + 4710?|10941|4395, 726
What is 1756 * 4555?|7998580|6551
What is 5132 * 128?|656896|3761, 8422, 766
What is 2950 + 7301?|10251|4640
What is 4992 - 5315?|-323|6264, 9801, 6030, 6537
What is 2145 * 7872?|16885440|9784, 8509, 4143
What is 180 * 748?|134640|1512, 6084, 4502
What is 6536 + 2557?|9093|66
What is 2570 * 7029?|18064530|9237
What is 2210 * 1523?|3365830|3368, 1675, 2045, 8342
What is 1786 * 8948?|15981128|2483
What is 598 + 5100?|5698|9529, 2050
What is 9092 * 9033?|82128036|2394, 8923
What is 4280 + 9366?|13646|105, 5555, 2230
What is 5477 + 7105?|12582|473
What is 6433 - 1783?|4650|3328, 9553, 2034, 6941
What is 5710 + 9752?|15462|3737, 3458, 6286, 7874
What is 9816 - 7164?|2652|9950
What is 4217 - 3738?|479|2124
What is 3287 + 5575?|8862|8416, 3069
What is 98 - 1100?|-1002|3849, 3044
What is 604 + 8586?|9190|5761, 2030
What is 3540 * 5886?|20836440|1556
What is 9903 - 9906?|-3|7893
What is 7413 + 2714?|10127|7312, 9415
What is 4368 * 6048?|26417664|3160, 9486
What is 2652 - 608?|2044|3044, 4412
What is 5520 + 1537?|7057|1928, 2218, 4034, 4277
What is 8054 + 9475?|17529|1763, 8865
What is 7721 * 3828?|29555988|4147, 1955, 8013
What is 3959 * 3538?|14006942|370, 4749
What is 6570 * 9118?|59905260|7748, 8807
What is 5954 + 4365?|10319|6962, 8431, 1306, 4574
What is 741 - 5105?|-4364|7920, 6156, 7259, 1230
What is 6118 * 9718?|59454724|2392, 3926
What is 7030 * 9643?|67790290|9043, 5492, 7898, 4286
What is 2893 + 469?|3362|6574
What is 6844 - 1937?|4907|385
What is 8389 * 6076?|50971564|4331, 3942
What is 424 + 5367?|5791|5447, 4485
What is 3503 * 6969?|24412407|5936, 1909, 1622
What is 3710 + 7116?|10826|5245
What is 1284 + 7172?|8456|3409, 1898, 1571, 8649
What is 786 - 681?|105|4962, 710
What is 3759 - 2275?|1484|9650
What is 5255 - 3481?|1774|9614, 1026, 3494
What is 4757 + 2806?|7563|1000, 7140, 8764
What is 8345 - 5802?|2543|6321, 8871, 4518
What is 287 + 7572?|7859|6508
What is 4503 * 216?|972648|6057, 1682, 150, 7433
What is 9202 + 2746?|11948|8484
What is 8822 + 6023?|14845|1713, 8530, 275, 6981
What is 7240 * 1861?|13473640|5738, 2131, 8575
What is 443 - 6871?|-6428|3449
What is 4560 - 1077?|3483|8956, 686
What is 9020 + 3974?|12994|3328, 3509, 9342
What is 5957 * 3042?|18121194|5321, 25
What is 9077 * 8142?|73904934|9969, 9997
What is 3153 + 7384?|10537|8324
What is 2392 + 5727?|8119|6719, 4330, 7275, 9861
What is 1163 + 9562?|10725|5683
What is 7895 - 95?|7800|2008, 1431
What is 5299 - 2541?|2758|3328, 4929, 5398, 63
What is 5112 - 2997?|2115|7288, 6132, 1309, 4563
What is 1520 - 2772?|-1252|9602, 6562, 2886, 2613
What is 356 - 4498?|-4142|4368
What is 8018 * 5593?|44844674|9324, 6154, 3310, 9263
What is 8735 + 6867?|15602|5963
What is 8046 - 234?|7812|4748, 509
What is 7409 + 8883?|16292|3172
What is 7505 * 6549?|49150245|3809, 1219, 4062
What is 4551 - 2275?|2276|9436, 8066, 7301
What is 8726 - 3349?|5377|9932
What is 7611 + 188?|7799|6980
What is 4223 * 14?|59122|2801, 8903, 5087
What is 2276 + 856?|3132|4000, 9120, 8983
What is 6529 - 5852?|677|8616
What is 6062 - 5893?|169|6480, 7562, 1638, 4553
What is 6793 * 8135?|55261055|6187, 5797
What is 3854 + 4818?|8672|9427
What is 2367 - 1834?|533|3768
What is 767 * 5015?|3846505|2148, 6668
What is 770 * 3334?|2567180|8750, 3423
What is 3560 + 9667?|13227|5406
What is 982 * 2415?|2371530|9258, 3796, 2258
What is 7638 - 2209?|5429|6337, 267, 6708, 7325
What is 2765 + 1604?|4369|4784, 1456
What is 2932 * 5960?|17474720|1555, 7156, 7853, 9565
What is 399 + 4869?|5268|5960, 4040, 7154
What is 5961 - 2576?|3385|4352, 7707, 5045
What is 836 + 5890?|6726|969, 2595, 9462, 6718
What is 9934 + 5034?|14968|1322, 2659, 7906
What is 3525 - 5472?|-1947|3944, 1855, 8734, 6909
What is 6311 * 6689?|42214279|2553, 8369
What is 1456 * 8854?|12891424|8808, 5776, 7104, 4152
What is 6214 + 5450?|11664|6963
What is 5742 + 6336?|12078|3795, 2052
What is 2131 + 5565?|7696|8758, 4054
What is 8597 * 924?|7943628|3960, 2931, 1983
What is 452 - 6931?|-6479|4244, 5156
What is 2070 + 8701?|10771|2336, 3
What is 6623 * 1115?|7384645|7325, 3397, 2478, 911
What is 6379 - 9485?|-3106|1761, 8930, 2563
What is 5986 * 6931?|41488966|3698, 6951
What is 9621 - 885?|8736|1200
What is 3086 - 8119?|-5033|1631
What is 4764 - 4435?|329|7720, 6162, 5603
What is 2748 - 4384?|-1636|2248
What is 1015 + 9037?|10052|9416, 2015, 4710, 5087
What is 1255 - 3447?|-2192|3721, 1923, 1964
What is 4265 + 3398?|7663|5723
What is 6915 + 6856?|13771|4917
What is 7548 + 4056?|11604|3577, 8687, 3191
What is 2072 - 2436?|-364|6529, 2205
What is 121 + 9275?|9396|5808, 9995, 182
What is 1712 - 4391?|-2679|4462, 910, 9805
What is 7146 - 7400?|-254|3793, 6765
What is 3670 + 4396?|8066|1216, 8323, 5786
What is 2376 + 6182?|8558|4997
What is 5898 - 5534?|364|5416, 6277, 2151
What is 860 + 7846?|8706|5050
What is 7416 * 8122?|60232752|6218, 678, 8350, 2213
What is 5476 * 8719?|47745244|3284, 8850, 9465
What is 5414 * 9376?|50761664|3813, 7910
What is 1722 + 9322?|11044|5230, 7837, 1062, 7141
What is 4689 + 5294?|9983|7729, 403
What is 5048 + 8396?|13444|5892, 7290, 8787, 3287
What is 8067 + 8983?|17050|3299, 9850
What is 1923 * 4682?|9003486|1240
What is 7985 * 955?|7625675|4328, 8250, 6661, 4726
What is 9297 * 8447?|78531759|7351, 5341, 8013
What is 2610 + 5846?|8456|3954, 419, 4572, 1143
What is 487 - 2922?|-2435|672, 6681, 9283, 4135
What is 4272 - 9061?|-4789|3040, 5470
What is 5135 + 3352?|8487|1209, 2763, 3357
What is 3018 + 8018?|11036|6753, 1594, 9982
What is 375 + 3761?|4136|480, 8650, 8546, 7928
What is 1918 + 2599?|4517|2264
What is 8203 * 1755?|14396265|434, 5078, 2255
What is 8441 + 2230?|10671|16, 7913, 6911, 3117
What is 7308 - 7412?|-104|6952
What is 7554 + 9617?|17171|2658
What is 9762 + 5310?|15072|592, 6114, 8070, 2152
What is 607 - 3362?|-2755|3751, 8999, 9439, 1301
What is 3027 * 8815?|26683005|730
What is 7742 + 9447?|17189|489, 1694, 5525
What is 9181 * 1079?|9906299|1008, 1220
What is 5311 - 4148?|1163|1658, 5989
What is 7526 + 5942?|13468|80, 8361
What is 2851 - 5159?|-2308|9493, 7638
What is 4477 - 9719?|-5242|7939
What is 6514 + 7063?|13577|5557, 69, 9439
What is 4315 + 736?|5051|3464
What is 6322 - 1681?|4641|7196, 9175
What is 5296 * 8358?|44263968|7680, 7892
What is 2188 - 9390?|-7202|3859, 7454
What is 8703 - 2600?|6103|910, 6574, 1326
What is 1170 * 1018?|1191060|5917
What is 5797 + 2174?|7971|4130
What is 4744 - 8507?|-3763|1359
What is 6190 + 2196?|8386|3590
What is 4411 + 3015?|7426|1417, 8462, 9081
What is 5493 + 3791?|9284|1603, 6227, 919, 7275
What is 3148 - 5882?|-2734|8601, 8933, 9270, 7853
What is 9726 - 9686?|40|6472, 1038, 1687
What is 9114 * 1382?|12595548|3824, 7348, 7837
What is 6392 - 3130?|3262|9316, 2234, 3844, 8941
What is 204 * 672?|137088|6256, 3068, 4069, 254
What is 5065 * 6254?|31676510|212
What is 6176 * 6695?|41348320|7168, 1763, 8903
What is 8135 + 6990?|15125|9302, 7767
What is 1416 * 4118?|5831088|2336, 8047
What is 497 * 4244?|2109268|5177, 67
What is 4291 - 5856?|-1565|9065
What is 9099 * 2998?|27278802|8760, 6130
What is 7352 * 7662?|56331024|8175
What is 5660 * 4960?|28073600|286, 2183
What is 580 * 9421?|5464180|2561
What is 6666 - 8682?|-2016|7546, 4988, 4574
What is 8718 + 4849?|13567|184, 5135, 4125, 5646
What is 4284 - 743?|3541|900, 2653
What is 3949 * 2551?|10073899|4655, 5230, 1103
What is 7093 + 3290?|10383|8913, 4719, 8127
What is 2913 - 439?|2474|4916, 2043, 8843, 7655
What is 3498 + 3212?|6710|5336, 9583
What is 5036 * 6460?|32532560|9417, 7876, 3808
What is 8596 + 9351?|17947|1272
What is 2435 * 7400?|18019000|4856, 9462, 5369
What is 5585 + 1463?|7048|9665, 4197, 8918, 7287
What is 536 * 559?|299624|3108
What is 4022 + 7870?|11892|5553, 6356, 3071
What is 7099 * 1963?|13935337|1464, 3842, 1208, 9476
What is 7008 * 7600?|53260800|3527
What is 4036 * 1880?|7587680|1603, 8163, 5356, 2879
What is 1293 * 8434?|10905162|7995
What is 6943 + 8434?|15377|8856, 6491, 6603, 6895
What is 303 + 5787?|6090|15
What is 2130 * 1129?|2404770|2194, 286, 7647
What is 658 - 4809?|-4151|7400, 1980, 3908, 7877
What is 9891 * 5244?|51868404|5809, 8458, 8949
What is 623 * 3623?|2257129|883, 6411, 9553, 7265
What is 8832 + 5985?|14817|3712, 1883, 9197
What is 341 + 2135?|2476|1424, 8820, 3362
What is 9901 - 364?|9537|8475, 6982
What is 8589 + 3497?|12086|2984, 1235, 8158
What is 1278 + 4773?|6051|370
What is 3470 * 103?|357410|3555, 9237
What is 1939 - 7091?|-5152|547, 3326
What is 4638 * 6336?|29386368|5561, 6043, 6806
What is 2847 + 6400?|9247|4152, 8826, 6755, 8716
What is 4601 * 7533?|34659333|8297, 5034, 9754
What is 2994 * 8132?|24347208|3177, 371
What is 8489 - 9473?|-984|5652, 6276
What is 470 - 7195?|-6725|544
What is 693 - 8226?|-7533|9602, 5870
What is 6954 - 1079?|5875|5884
What is 1515 - 7299?|-5784|2384, 7322, 7946, 9941
What is 1588 * 8700?|13815600|9465, 3561, 3204, 5559
What is 8290 - 9011?|-721|3028, 2782
What is 8621 - 916?|7705|480, 183, 4380, 5473
What is 7161 + 2603?|9764|969, 3122
What is 8152 - 8115?|37|7413
What is 6251 * 6569?|41062819|9898
What is 1927 * 5298?|10209246|689, 9515, 3765, 8965
What is 4791 * 9713?|46534983|6656, 8119, 6532, 2510
What is 5372 * 3003?|16132116|3972, 6699, 5230, 4911
What is 8415 + 3481?|11896|1789, 7655
What is 7361 + 6582?|13943|984, 6305, 7370
What is 5009 + 7515?|12524|4728, 5793
What is 9879 + 3019?|12898|8777, 5098
What is 9688 + 8028?|17716|7995, 3011, 2509, 4553
What is 5915 * 6612?|39109980|8263
What is 4713 * 7537?|35521881|5183, 6996, 3249
What is 1448 * 5577?|8075496|2482, 1478, 9223
What is 8311 - 7716?|595|7438
What is 9082 * 4176?|37926432|84, 1021, 1622
What is 6595 + 2875?|9470|3082
What is 7063 - 1669?|5394|3960, 790
What is 9680 + 3225?|12905|5280, 7446, 8255
What is 6467 * 8486?|54878962|4423, 69, 454, 8455
What is 5056 + 6942?|11998|1503, 2695
What is 805 + 1287?|2092|4726, 9678
What is 5292 - 9208?|-3916|8298, 2191
What is 3034 - 3486?|-452|9077, 9983
What is 739 - 5987?|-5248|8323, 317, 5942, 447
What is 6637 + 7711?|14348|2322, 7274, 9838
What is 9900 - 656?|9244|3161, 7279
What is 6186 - 1701?|4485|1556
What is 8286 + 7745?|16031|3938, 2415, 692, 5575
What is 4187 - 1463?|2724|7098, 2565
What is 5558 + 5062?|10620|7431, 8999, 2431
What is 3046 * 8029?|24456334|6817, 9255, 7422, 5647
What is 9242 * 3878?|35840476|7053, 8638, 7582
What is 8802 - 5968?|2834|1339, 509, 6518
What is 6653 + 9750?|16403|1248
What is 1580 + 5070?|6650|5889
What is 8882 - 9600?|-718|1482
What is 2245 - 1664?|581|5643, 7867, 6854, 4263
What is 3817 + 4203?|8020|650
What is 1904 - 1922?|-18|3033, 4258, 3958, 6614
What is 1118 - 7143?|-6025|2546
What is 7296 - 9899?|-2603|5180, 878
What is 4517 + 2054?|6571|3008, 7529, 7010, 9852
What is 2788 + 7595?|10383|6773, 1158
What is 3070 - 8109?|-5039|7491, 3771, 1468, 4091
What is 9320 + 825?|10145|7897
What is 2395 * 8264?|19792280|5674
What is 5746 + 5194?|10940|6392, 7268
What is 9951 - 1497?|8454|1250
What is 2382 * 7962?|18965484|4385, 7281
What is 9475 + 6196?|15671|3950
What is 2726 + 1851?|4577|5555
What is 9628 * 7319?|70467332|9065, 9966, 4751
What is 8730 + 6848?|15578|8057
What is 4351 + 7280?|11631|5983, 9419, 3839
What is 4272 * 2174?|9287328|5070, 9631
What is 8108 + 4922?|13030|5193, 3574, 9039
What is 4677 - 5807?|-1130|5947, 7660
What is 6729 * 7166?|48220014|5801, 7548, 4502, 7999
What is 2604 + 1832?|4436|4940, 9611, 815
What is 4989 + 9881?|14870|5611, 1523
What is 4210 + 3180?|7390|9805
What is 3984 * 2206?|8788704|3458, 7531, 9356, 1158
What is 5573 - 8922?|-3349|833, 2427, 6292, 9397
What is 4961 - 1179?|3782|8105, 5593, 5639
What is 5362 + 9892?|15254|5137, 6886, 6942, 2023
What is 5563 - 1626?|3937|4853
What is 6752 - 5704?|1048|5264, 9010, 6227
What is 5853 * 9129?|53432037|7950
What is 9626 - 1023?|8603|4840, 6170, 574
What is 7589 - 9303?|-1714|2945, 5669, 8503
What is 3998 - 3920?|78|1507, 6542
What is 5110 - 1756?|3354|2289, 4555
What is 4346 + 8050?|12396|9619
What is 3684 - 8101?|-4417|9272, 9729, 4915, 4926
What is 2509 * 6497?|16300973|7758, 9054
What is 5606 - 1836?|3770|6766, 8503
What is 6631 + 8183?|14814|3368, 1401, 8820
What is 1893 * 9171?|17360703|3177, 5407, 2230, 8462
What is 2720 + 6095?|8815|72, 2937, 8744, 4189
What is 6073 + 5917?|11990|7137, 3740, 9726, 7741
What is 9992 - 1016?|8976|7971, 1190, 2183
What is 1278 * 8963?|11454714|7025, 7772
What is 8023 - 9978?|-1955|7030, 3446
What is 834 - 1795?|-961|2928, 2721, 223
What is 1358 + 8910?|10268|8236, 2827, 1093, 3045
What is 3603 * 2846?|10254138|9080, 9399
What is 2460 + 2107?|4567|6548, 1228, 5661, 8102
What is 3926 * 6453?|25334478|3800, 8554
What is 820 * 2398?|1966360|3445, 5830, 8645
What is 3488 - 8343?|-4855|8511
What is 510 - 9220?|-8710|5136, 4074
What is 1828 + 8464?|10292|3520, 9542
What is 6015 - 1677?|4338|9877, 2886, 2175
What is 5996 - 6735?|-739|8678, 9031
What is 2568 * 3136?|8053248|970, 180, 3391
What is 2895 + 4762?|7657|7415, 1921
What is 8580 * 8978?|77031240|9619, 8508
What is 6976 + 5286?|12262|5352, 2832, 7428, 9679
What is 2603 + 2021?|4624|1928, 6363, 7398, 7033
What is 2843 + 758?|3601|9634, 3626, 366
What is 4767 + 7603?|12370|579
What is 9188 + 3785?|12973|1928, 2950, 6382, 3895
What is 9987 + 8384?|18371|5655, 9715, 9743
What is 7831 + 5306?|13137|6883
What is 602 * 9066?|5457732|1280, 9393
What is 2831 + 9648?|12479|1994, 2079, 9502
What is 3501 * 4849?|16976349|5280, 6697, 1356, 2718
What is 3800 * 164?|623200|4904, 4941, 2447
What is 1207 - 9372?|-8165|8237, 4575
What is 3720 + 8028?|11748|2914, 7287
What is 8945 - 1996?|6949|3650, 5083, 8900, 5047
What is 7781 * 7881?|61322061|2425, 9332, 5790
What is 4179 + 5240?|9419|161, 5811
What is 9857 + 1140?|10997|6290, 6583
What is 1578 + 8538?|10116|4010, 2331, 8157
What is 973 - 1222?|-249|8011, 6412, 1709
What is 1252 * 2368?|2964736|4568, 5917, 5990, 1021
What is 3967 * 8346?|33108582|2729, 6754, 1087
What is 8433 + 8937?|17370|4242, 3454
What is 413 * 5941?|2453633|8128, 5915, 2950
What is 7781 + 3726?|11507|3038, 383
What is 1417 - 6741?|-5324|3612, 5927
What is 4487 + 1159?|5646|9944, 4142, 4767
What is 7764 - 1355?|6409|2144, 4395, 1929
What is 8744 * 3217?|28129448|8552
What is 9312 + 2285?|11597|3001, 1635, 1638, 4991
What is 7407 + 3727?|11134|6529
What is 9087 * 7698?|69951726|3793
What is 9278 * 6305?|58497790|419, 1190
What is 8749 + 829?|9578|1216, 797, 6757
What is 5634 - 3800?|1834|6425, 3995, 2414
What is 1226 - 3819?|-2593|4265, 7441, 4637
What is 7079 - 4479?|2600|1920, 7154, 4347
What is 4503 - 4870?|-367|427, 3917, 3086
What is 3099 * 9010?|27921990|9589, 7037, 173, 4015
What is 9615 * 5927?|56988105|9283, 7829, 4263, 1333
What is 4793 - 8247?|-3454|5747, 5922, 5355
What is 781 + 4200?|4981|6753, 706, 8337
What is 4088 * 7234?|29572592|7130, 3427, 9139
What is 3610 - 601?|3009|1516, 9925
What is 5700 - 129?|5571|6380
What is 2668 * 2276?|6072368|4977, 6837, 4281
What is 7037 + 8050?|15087|3, 6071, 6909
What is 7859 * 7280?|57213520|1296, 6593, 3364, 1375
What is 5636 - 9173?|-3537|6084
What is 5606 - 7125?|-1519|1356, 2934, 7265
What is 5915 * 8973?|53075295|9648, 287, 3756
What is 8584 + 9497?|18081|5000, 8546, 9693
What is 9312 - 7673?|1639|7776, 754, 7799, 6306
What is 1921 - 7278?|-5357|2424, 8657, 8361, 6105
What is 4701 * 7127?|33504027|2729, 7013
What is 8308 * 7222?|60000376|4857
What is 378 - 5208?|-4830|803, 643, 4389
What is 8901 - 5501?|3400|195
What is 5 - 2075?|-2070|7403, 7514
What is 9802 - 2687?|7115|5963, 7015
What is 1060 * 7157?|7586420|1248, 3968, 5626
What is 5087 - 8394?|-3307|4961, 7186, 6006
What is 5752 + 7926?|13678|6811, 7941
What is 5004 * 3765?|18840060|9897, 8519, 4263, 8833
What is 5359 + 8619?|13978|4826, 4719
What is 6681 - 2500?|4181|8144, 666, 8302, 8477
What is 7657 + 2909?|10566|5635, 7079
What is 8659 + 3631?|12290|4713, 5170, 4502, 8505
What is 1755 + 686?|2441|3890, 8155, 1522, 9345
What is 3294 + 2972?|6266|267
What is 2256 * 6075?|13705200|1574
What is 3580 + 8691?|12271|3168, 5777, 3247, 2507
What is 5142 * 2986?|15354012|3980, 8583
What is 4326 * 7478?|32349828|8900, 7428, 5006, 6567
What is 7457 + 1743?|9200|1904, 1164
What is 8924 * 731?|6523444|8193
What is 3910 - 1487?|2423|8178, 2878
What is 7126 * 32?|228032|6962, 7931, 5293
What is 7007 + 6742?|13749|4582
What is 9645 + 3888?|13533|7079
What is 2411 * 3397?|8190167|3414
What is 1719 + 3347?|5066|809
What is 8001 + 1076?|9077|8055
What is 2440 + 470?|2910|1118
What is 7095 * 7386?|52403670|463
What is 6675 + 1388?|8063|5737, 7060, 3533, 8326
What is 2300 * 377?|867100|1156
What is 2798 + 3544?|6342|8840, 1617, 4143
What is 4426 - 8971?|-4545|568, 7896, 3694
What is 458 * 4043?|1851694|513, 9754, 4799
What is 8113 + 6360?|14473|7886, 4965, 5646
What is 6933 + 8623?|15556|608, 933, 1430, 9335
What is 7312 - 8444?|-1132|3427
What is 8523 * 6289?|53601147|4249, 7351
What is 9480 * 9747?|92401560|1249, 8391
What is 8988 + 4484?|13472|1163, 6791
What is 7713 * 4952?|38194776|2665, 4479, 7744, 8351
What is 5248 + 8143?|13391|5969, 2946, 9764
What is 8433 * 9970?|84077010|5121, 6700, 9943
What is 6099 + 2534?|8633|1675
What is 4152 + 3533?|7685|3122, 5734, 7743
What is 2168 + 599?|2767|6132, 1619, 7035, 8428
What is 6165 - 5618?|547|3300
What is 2907 - 748?|2159|1366, 1718, 6838
What is 1421 + 2989?|4410|3512
What is 4287 * 9388?|40246356|8664, 1322, 8959
What is 7213 - 4670?|2543|796
What is 1919 * 3007?|5770433|4317
What is 7833 - 9416?|-1583|1504, 5060, 8093, 5801
What is 7970 * 1215?|9683550|2824, 2156, 7181, 3917
What is 9015 * 4327?|39007905|6985
What is 4894 * 9416?|46081904|8664, 3706, 473
What is 3165 + 2615?|5780|7098, 6883, 450, 3495
What is 9041 * 241?|2178881|1001, 1097
What is 200 + 2965?|3165|2905, 202, 8374, 4941
